Station_name,Station_address,Type_oil,Price,City,Full_address,Coords,LAT,LNG
INVERSIONES ESCORPION LIMITADA,Sor Vicenta 2010,Bencina 93,1208,Los Ángeles,"Sor Vicenta 2010, Los Ángeles, Chile","(-37.45244, -72.34047)",-37.45244,-72.34047
INVERSIONES ESCORPION LIMITADA,Sor Vicenta 2010,Bencina 95,1236,Los Ángeles,"Sor Vicenta 2010, Los Ángeles, Chile","(-37.45244, -72.34047)",-37.45244,-72.34047
INVERSIONES ESCORPION LIMITADA,Sor Vicenta 2010,Bencina 97,1261,Los Ángeles,"Sor Vicenta 2010, Los Ángeles, Chile","(-37.45244, -72.34047)",-37.45244,-72.34047
INVERSIONES ESCORPION LIMITADA,Sor Vicenta 2010,Diesel,1030,Los Ángeles,"Sor Vicenta 2010, Los Ángeles, Chile","(-37.45244, -72.34047)",-37.45244,-72.34047
GUILLERMO MALVOA,Avda. Alemania 470,Bencina 93,1222,Los Ángeles,"Avda. Alemania 470, Los Ángeles, Chile","(-37.46918, -72.34231)",-37.46918,-72.34231
GUILLERMO MALVOA,Avda. Alemania 470,Bencina 95,1248,Los Ángeles,"Avda. Alemania 470, Los Ángeles, Chile","(-37.46918, -72.34231)",-37.46918,-72.34231
GUILLERMO MALVOA,Avda. Alemania 470,Bencina 97,1271,Los Ángeles,"Avda. Alemania 470, Los Ángeles, Chile","(-37.46918, -72.34231)",-37.46918,-72.34231
GUILLERMO MALVOA,Avda. Alemania 470,Diesel,1039,Los Ángeles,"Avda. Alemania 470, Los Ángeles, Chile","(-37.46918, -72.34231)",-37.46918,-72.34231
Comercial Cardemil Ltda,Colon Orompello 1098,Bencina 93,1195,Los Ángeles,"Colon Orompello 1098, Los Ángeles, Chile","(-37.46083, -72.36423)",-37.46083,-72.36423
Comercial Cardemil Ltda,Colon Orompello 1098,Bencina 95,1223,Los Ángeles,"Colon Orompello 1098, Los Ángeles, Chile","(-37.46083, -72.36423)",-37.46083,-72.36423
Comercial Cardemil Ltda,Colon Orompello 1098,Bencina 97,1238,Los Ángeles,"Colon Orompello 1098, Los Ángeles, Chile","(-37.46083, -72.36423)",-37.46083,-72.36423
Comercial Cardemil Ltda,Colon Orompello 1098,Diesel,1019,Los Ángeles,"Colon Orompello 1098, Los Ángeles, Chile","(-37.46083, -72.36423)",-37.46083,-72.36423
Solar y Compa??a Limitada,Av. Francisco Encina 875,Bencina 93,1228,Los Ángeles,"Av. Francisco Encina 875, Los Ángeles, Chile","(-37.48443, -72.33283)",-37.48443,-72.33283
Solar y Compa??a Limitada,Av. Francisco Encina 875,Bencina 95,1270,Los Ángeles,"Av. Francisco Encina 875, Los Ángeles, Chile","(-37.48443, -72.33283)",-37.48443,-72.33283
Solar y Compa??a Limitada,Av. Francisco Encina 875,Bencina 97,1282,Los Ángeles,"Av. Francisco Encina 875, Los Ángeles, Chile","(-37.48443, -72.33283)",-37.48443,-72.33283
Solar y Compa??a Limitada,Av. Francisco Encina 875,Diesel,1049,Los Ángeles,"Av. Francisco Encina 875, Los Ángeles, Chile","(-37.48443, -72.33283)",-37.48443,-72.33283
